linear_ax_m/s^2,linear_ay_m/s^2,linear_az_m/s^2,linear_at_m/s^2,linear_time,wx_rad/s,wy_rad/s,wz_rad/s,activity
-0.0858,0.7672,0.1891,0.795,0.7235749050131928,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7255751820580476,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7275754591029024,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7295757361477574,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7315760131926122,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7335762902374672,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.735576567282322,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7375768443271769,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7395771213720318,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7415773984168866,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7435776754617416,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7455779525065964,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7475782295514513,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7495785065963062,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.751578783641161,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.753579060686016,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7555793377308708,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7575796147757257,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7595798918205806,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7615801688654354,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7635804459102904,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7655807229551452,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7675810000000001,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.769581277044855,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7715815540897099,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7735818311345648,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7755821081794196,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7775823852242745,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7795826622691294,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7815829393139843,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7835832163588392,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.785583493403694,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.787583770448549,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7895840474934038,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7915843245382587,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7935846015831136,-0.020138931540400848,-0.02349542013046766,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7955848786279685,-0.046770823849574164,-0.05456596115783653,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7975851556728234,-0.07340271615874897,-0.08563650218520713,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7995854327176782,-0.10003460846792228,-0.11670704321257601,0.0,walking
